Wavelength. µm	n	k
0.27	1.364	1.318
0.28	1.477	1.24
0.29	1.531	1.168
0.3	1.609	0.9126
0.31	1.373	0.5192
0.32	0.8191	0.3334
0.33	0.2207	0.6779
0.34	0.1109	1.084
0.35	0.08443	1.341
0.36	0.07339	1.536
0.3699	0.06727	1.699
0.3799	0.06325	1.841
0.3899	0.06035	1.971
0.3999	0.05817	2.09
0.4099	0.05647	2.203
0.4199	0.05515	2.31
0.4299	0.05411	2.413
0.4399	0.05332	2.513
0.4499	0.05271	2.609
0.4599	0.05227	2.703
0.4699	0.05198	2.795
0.4799	0.05181	2.886
0.4899	0.05175	2.974
0.4999	0.0518	3.062
0.5099	0.05193	3.148
0.5199	0.05215	3.233
0.5299	0.05245	3.318
0.5399	0.05282	3.401
0.5499	0.05326	3.484
0.5599	0.05376	3.566
0.5699	0.05431	3.648
0.5799	0.05493	3.728
0.5899	0.0556	3.809
0.5999	0.05632	3.889
0.6099	0.05709	3.968
0.6199	0.0579	4.048
0.6299	0.05876	4.126
0.6399	0.05966	4.205
0.6499	0.06061	4.283
0.6599	0.06159	4.361
0.6699	0.06262	4.438
0.6799	0.06368	4.516
0.6899	0.06478	4.593
0.6999	0.06591	4.669
0.7099	0.06708	4.746
0.7199	0.06829	4.823
0.7299	0.06953	4.899
0.7399	0.0708	4.975
0.7499	0.0721	5.051
0.7599	0.07344	5.126
0.7699	0.0748	5.202
0.7799	0.0762	5.278
0.7899	0.07762	5.353
0.7999	0.07908	5.428
0.8099	0.08057	5.503
0.8199	0.08208	5.578
0.8299	0.08362	5.653
0.8399	0.08519	5.728
0.8499	0.08679	5.802
0.8599	0.08841	5.877
0.8699	0.09007	5.951
0.8799	0.09174	6.026
0.8899	0.09345	6.1
0.8999	0.09518	6.174
0.9099	0.09694	6.248
0.9199	0.09872	6.322
0.9299	0.1005	6.396
0.9399	0.1024	6.47
0.9499	0.1042	6.544
0.9599	0.1061	6.618
0.9698	0.108	6.691
0.9799	0.11	6.765
0.9899	0.1119	6.838
0.9999	0.1139	6.912
1.01	0.1159	6.985
1.02	0.1179	7.059
1.03	0.12	7.132
1.04	0.1221	7.206
1.05	0.1242	7.279
1.06	0.1263	7.352
1.07	0.1285	7.425
1.08	0.1306	7.498
1.09	0.1328	7.571
1.1	0.1351	7.645
1.11	0.1373	7.718
1.12	0.1396	7.791
1.13	0.1419	7.863
1.14	0.1442	7.936
1.15	0.1465	8.009
1.16	0.1489	8.082
1.17	0.1513	8.155
1.18	0.1537	8.228
1.19	0.1561	8.3
1.2	0.1585	8.373
1.21	0.161	8.446
1.22	0.1635	8.518
1.23	0.166	8.591
1.24	0.1686	8.664
1.25	0.1711	8.736
1.26	0.1737	8.809
1.268	0.1759	8.869
1.27	0.1763	8.881
1.278	0.1785	8.942
1.28	0.179	8.954
1.288	0.1812	9.015
1.29	0.1816	9.026
1.299	0.184	9.09
1.3	0.1843	9.099
1.309	0.1868	9.166
1.31	0.187	9.171
1.32	0.1897	9.243
1.328	0.1919	9.302
1.33	0.1924	9.316
1.339	0.1949	9.381
1.34	0.1952	9.388
1.347	0.1973	9.442
1.35	0.198	9.46
1.359	0.2004	9.524
1.367	0.2029	9.586
1.379	0.2062	9.67
1.388	0.2087	9.734
1.4	0.2122	9.82
1.409	0.2148	9.886
1.418	0.2176	9.953
1.427	0.2203	10.02
1.43	0.221	10.04
1.437	0.2231	10.09
1.44	0.224	10.11
1.45	0.227	10.18
1.46	0.2301	10.26
1.469	0.233	10.32
1.47	0.2331	10.33
1.48	0.2362	10.4
1.49	0.2393	10.47
1.497	0.2414	10.52
1.5	0.2424	10.54
1.507	0.2446	10.6
1.51	0.2455	10.62
1.518	0.248	10.67
1.52	0.2487	10.69
1.528	0.2514	10.75
1.53	0.2518	10.76
1.539	0.2549	10.83
1.54	0.255	10.83
1.547	0.2572	10.88
1.55	0.2582	10.9
1.558	0.2608	10.96
1.56	0.2615	10.98
1.569	0.2645	11.04
1.57	0.2647	11.05
1.577	0.267	11.1
