Wavelength. µm	n	k
0.22	1.533	0
0.24	1.54	0
0.26	1.526	0
0.28	1.516	0
0.3	1.51	0
0.32	1.506	0
0.34	1.503	0
0.36	1.499	0
0.38	1.495	0
0.4	1.493	0
0.42	1.491	0
0.44	1.489	0
0.46	1.487	0
0.48	1.486	0
0.5	1.485	0
0.52	1.484	0
0.54	1.483	0
0.56	1.482	0
0.58	1.481	0
0.6	1.479	0
0.62	1.479	0
0.64	1.479	0
0.66	1.479	0
0.68	1.479	0
0.7	1.479	0
0.72	1.479	0
0.74	1.479	0
0.76	1.479	0
0.78	1.479	0
0.8	1.479	0
0.82	1.479	0
0.84	1.479	0
0.86	1.479	0
0.88	1.479	0
0.9	1.479	0
0.92	1.479	0
0.94	1.479	0
0.96	1.479	0
0.98	1.479	0
1	1.479	0
1.02	1.479	0
1.04	1.479	0
1.06	1.479	0
1.08	1.479	0
1.1	1.479	0
1.12	1.479	0
1.14	1.479	0
1.16	1.479	0
1.18	1.479	0
1.2	1.479	0
1.22	1.479	0
1.24	1.478	0
1.26	1.478	0
1.28	1.479	0
1.3	1.479	0
1.32	1.479	0
1.34	1.479	0
1.36	1.479	0
1.38	1.479	0
1.4	1.479	0
1.42	1.479	0
1.44	1.479	0
1.46	1.479	0
1.48	1.479	0
1.5	1.479	0
1.52	1.479	0
1.54	1.479	0
1.56	1.479	0
1.58	1.478	0
1.6	1.478	0
1.62	1.478	0
1.64	1.478	0
1.66	1.478	0
1.68	1.478	0
1.7	1.478	0
1.72	1.478	0
1.74	1.478	0
1.76	1.478	0
1.78	1.479	0
1.8	1.479	0
1.82	1.479	0
1.84	1.479	0
1.86	1.479	0
1.88	1.479	0
1.9	1.479	0
1.92	1.479	0
1.94	1.479	0
1.96	1.479	0
1.98	1.479	0
2	1.479	0
2.02	1.479	0
2.04	1.479	0
2.06	1.479	0
2.08	1.479	0
2.1	1.478	0
2.12	1.478	0
2.14	1.477	0
2.16	1.476	0
2.18	1.476	0
2.2	1.476	0
2.22	1.475	0
2.24	1.475	0
2.26	1.474	0
2.28	1.474	0
2.3	1.474	0
2.32	1.474	0
2.34	1.473	0
2.36	1.473	0
2.38	1.473	0
2.4	1.474	0
2.42	1.474	0
2.44	1.474	0
2.46	1.474	0
2.48	1.474	0
2.5	1.475	0
2.5126	1.475	0
2.5253	1.475	0
2.5381	1.475	0
2.551	1.475	0
2.5641	1.475	0
2.5773	1.475	0
2.5907	1.475	0
2.6042	1.475	0
2.6178	1.474	0
2.6316	1.474	0
2.6455	1.474	0
2.6596	1.474	0
2.6738	1.474	0
2.6882	1.474	0
2.7027	1.474	0
2.7174	1.473	0
2.7322	1.473	0
2.7473	1.473	0
2.7624	1.473	0
2.7778	1.473	0
2.7933	1.473	0
2.809	1.472	0
2.8249	1.472	0
2.8409	1.472	0
2.8571	1.472	0
2.8736	1.472	0
2.8902	1.472	0
2.907	1.472	0
2.924	1.472	0
2.9412	1.472	0
2.9586	1.472	0
2.9762	1.472	0
2.994	1.472	0
3.012	1.472	0
3.0303	1.472	0
3.0488	1.472	0
3.0675	1.472	0
3.0864	1.471	0
3.1056	1.471	0
3.125	1.471	0
3.1447	1.471	0
3.1646	1.471	0
3.1847	1.471	0
3.2051	1.472	0
3.2258	1.472	0
3.2468	1.472	0
3.268	1.472	0
3.2895	1.472	0
3.3113	1.471	0
3.3333	1.471	0
3.3557	1.471	0
3.3784	1.471	0
3.4014	1.471	0
3.4247	1.471	0
3.4483	1.47	0
3.4722	1.47	0
3.4965	1.47	0
3.5211	1.47	0
3.5461	1.47	0
3.5714	1.47	0
3.5971	1.469	0
3.6232	1.469	0
3.6496	1.469	0
3.6765	1.469	0
3.7037	1.469	0
3.7313	1.468	0
3.7594	1.468	0
3.7879	1.468	0
3.8168	1.468	0
3.8462	1.468	0
3.876	1.468	0
3.9063	1.468	0
3.937	1.468	0
3.9683	1.468	0
4	1.468	0
4.0323	1.468	0
4.065	1.468	0
4.0984	1.468	0
4.1322	1.468	0
4.1667	1.468	0
4.2017	1.468	0
4.2373	1.468	0
4.2735	1.467	0
4.3103	1.467	0
4.3478	1.467	0
4.386	1.467	0
4.4248	1.467	0
4.4643	1.467	0
4.5045	1.467	0
4.5455	1.467	0
4.5872	1.467	0
4.6296	1.467	0
4.6729	1.466	0
4.717	1.466	0
4.7619	1.466	0
4.8077	1.466	0
4.8544	1.466	0
4.902	1.466	0
4.9505	1.465	0
5	1.465	0
5.0505	1.465	0
5.102	1.464	0
5.1546	1.464	0
5.2083	1.464	0
5.2632	1.463	0
5.3191	1.463	0
5.3763	1.462	0
5.4348	1.462	0
5.4945	1.461	0
5.5556	1.461	0
5.618	1.46	0
5.6818	1.46	0
5.7471	1.46	0
5.814	1.459	0
5.8824	1.458	0
5.9524	1.458	0
6.0241	1.457	0
6.0976	1.457	0
6.1728	1.456	0
6.25	1.456	0
6.3291	1.455	0
6.4103	1.454	0
6.4935	1.454	0
6.5789	1.453	0
6.6667	1.452	0
6.7568	1.452	0
6.8493	1.451	0
6.9444	1.45	0
7.0423	1.45	0
7.1429	1.449	0
7.2464	1.449	0
7.3529	1.448	0
7.4627	1.448	0
7.5758	1.447	0
7.6923	1.446	0
7.8125	1.445	0
7.9365	1.444	0
8.0645	1.444	0
8.1967	1.442	0
8.3333	1.441	0
8.4746	1.44	0
8.6207	1.438	0
8.7719	1.436	0
8.9286	1.434	0
9.0909	1.433	0
9.2593	1.431	0
9.434	1.428	0
9.6154	1.426	0
9.8039	1.423	0
10	1.419	0
10.2041	1.416	0
10.4167	1.411	0
10.6383	1.406	0
10.8696	1.401	0
11.1111	1.395	0
11.3636	1.389	0
11.6279	1.382	0
11.9048	1.375	0
12.1951	1.367	0
12.5	1.36	0
12.8205	1.351	0
13.1579	1.343	0
13.5135	1.332	0
13.8889	1.321	0
14.2857	1.311	0
14.7059	1.301	0
15.1515	1.289	0
15.625	1.275	0.001
16.129	1.262	0.005
16.6667	1.248	0.007
17.2414	1.227	0.009
17.8571	1.206	0.017
18.5185	1.189	0.021
19.2308	1.16	0.02
20	1.13	0.026
20.8333	1.084	0.028
21.7391	1.023	0.045
22.7273	0.988	0.058
23.8095	0.923	0.099
25	0.858	0.102
26.3158	0.744	0.13
27.7778	0.572	0.183
29.4118	0.343	0.374
31.25	0.227	0.658
33.3333	0.148	0.979
35.7143	0.142	1.337
38.4615	0.129	1.753
41.6667	0.148	2.329
45.4545	0.205	3.297
50	0.976	5.834
55.5556	8.501	2.546
62.5	4.547	0
71.4286	3.595	0
83.3333	3.173	0
100	2.936	0
125	2.79	0
166.6667	2.696	0
